Name,Latitude,Longitude,Entry Fee,Open Timings,Time Required (hrs),Area Code,Priority,Spot Type,Budget,Top Activities,Description,Ideal Duration,Estimated Travel Time From Airport (mins),Group Type
Victoria Memorial,22.5448,88.3426,50,10:00-17:00,2,1,1,Cultural & Heritage,Low,"Museum visit, heritage photography, garden walk, evening light & sound show","Iconic marble monument built in memory of Queen Victoria, housing a museum and surrounded by lush gardens.",1.5–2 hours,50-60,Solo/Family/Friends/Couple
Indian Museum,22.5626,88.3504,50,10:00-17:00,2.5,1,1,Cultural & Heritage,Low,"Exploring artifacts, ancient history learning, art and culture exhibits","India’s oldest and largest museum with vast collections of art, archaeology, and natural history.",2–3 hours,45–55,Solo/Family/Friends/Couple
St. Paul's Cathedral,22.5372,88.3434,10,"09:00-12:00, 15:00-18:00",1,1,2,Spiritual,Low,"Architecture viewing, quiet reflection, photography","Neo-Gothic Anglican cathedral known for its stained glass, tall spire, and serene atmosphere.",30–45 minutes,50–60,Solo/Family/Friends/Couple
Elliot Park,22.5467,88.3502,0,05:00-21:00,1,1,3,Relaxation & Nature,Free,"Relaxing walk, picnics, casual photography","Urban park near Park Street, ideal for walking, relaxing, and enjoying city views.",30–45 minutes,50–60,Solo/Family/Friends/Couple
Marble Palace,22.5832,88.3701,20,10:00-16:00,1.5,2,2,Cultural & Heritage,Low,"Art gallery viewing, architecture exploration, heritage photography","19th-century mansion with marble walls, antique furniture, and rare artworks.",1–1.5 hours,40–50,Solo/Family/Friends/Couple
Kumartuli,22.6066,88.3686,0,All Day,1,2,2,Cultural & Heritage,Free,"Watching idol-making, cultural photography, buying clay idols",Traditional potters’ quarter famous for crafting clay idols for festivals like Durga Puja.,1–1.5 hours,35–45,Solo/Family/Friends/Couple
Jorasanko Thakurbari,22.5856,88.3631,10,10:30-17:30,1.5,2,1,Cultural & Heritage,Low,"Museum tour, Rabindranath Tagore heritage learning","Ancestral home of Rabindranath Tagore, now a museum showcasing his life and works.",1–1.5 hours,40–50,Solo/Family/Friends/Couple
Eco Park,22.6036,88.4712,30,12:00-20:00,3,3,1,Adventure & Entertainment,Low,"Boating, cycling, nature walks, themed gardens, adventure sports","Sprawling urban park in New Town featuring themed gardens, boating, cycling, and adventure activities.",3–4 hours,20–25,Family/Friends/Couple
Belur Math,22.6327,88.357,0,"08:30-11:30, 16:00-19:00",2,4,1,Spiritual,Free,"Temple visit, riverside walk, spiritual meditation",Headquarters of the Ramakrishna Mission,1.5–2 hours,45–55,Solo/Family/Friends/Couple
Howrah Bridge,22.5859,88.3468,0,All Day,0.5,4,1,Cultural & Heritage,Free,"Photography, river view walk, night illumination viewing","Cantilever bridge over the Hooghly River, a Kolkata landmark and engineering marvel.",20–30 minutes,35–45,Solo/Family/Friends/Couple
Nicco Park,22.5769,88.4295,300,10:30-19:30,4,5,2,Adventure & Entertainment,Medium,"Rides, water slides, theme park games, boating","Large amusement park with rides, water attractions, and entertainment for all ages.",4–5 hours,25–30,Solo/Family/Friends/Couple
